2026-01-12 13:32:58.640 [main] INFO  testcase3 - ========================================
2026-01-12 13:32:58.640 [main] INFO  testcase3 - TEST RESULT: PASSED ✓
2026-01-12 13:32:58.640 [main] INFO  testcase3 - ========================================
2026-01-12 13:32:58.640 [main] INFO  TestExecution - ################################################################################
2026-01-12 13:32:58.640 [main] INFO  TestExecution - # TEST CASE TC_AMZ_003 - RESULT: PASSED
2026-01-12 13:32:58.640 [main] INFO  TestExecution - ################################################################################
2026-01-12 13:32:58.640 [main] INFO  TestExecution - 
2026-01-12 13:32:58.640 [main] INFO  utils.ScreenshotListener - Test passed: testPriceFilter
2026-01-12 13:32:58.641 [main] INFO  testcase3 - --- Test Teardown Started ---
2026-01-12 13:32:58.641 [main] INFO  testcase3 - Browser session maintained
2026-01-12 13:32:58.641 [main] INFO  testcase3 - --- Test Teardown Completed ---
2026-01-12 13:32:58.755 [main] INFO  testcase3 - Browser closed successfully
2026-01-12 13:32:58.755 [main] INFO  testcase3 - ALL TESTS COMPLETED FOR TC_AMZ_003
2026-01-12 13:32:58.756 [main] INFO  TestSteps - ================================================================================
2026-01-12 13:32:58.756 [main] INFO  TestSteps -   TC_AMZ_004: Verify Product Details Display
2026-01-12 13:32:58.756 [main] INFO  TestSteps - ================================================================================
2026-01-12 13:32:58.756 [main] INFO  testcase4 - Priority: HIGH (P2) | Type: Smoke Test | Automation: YES
2026-01-12 13:32:58.760 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 143.0.7499.192 (resolved driver for Chrome 143)
2026-01-12 13:32:58.761 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as /Users/anishk/.cache/selenium/chromedriver/mac-arm64/143.0.7499.192/chromedriver
2026-01-12 13:32:58.761 [main] INFO  testcase4 - WebDriverManager setup completed
2026-01-12 13:32:58.761 [main] INFO  testcase4 - --- Test Setup Started ---
2026-01-12 13:32:59.279 [main] INFO  testcase4 - --- Test Setup Completed ---
2026-01-12 13:32:59.279 [main] INFO  utils.ScreenshotListener - Starting test: testProductDetailsDisplay
2026-01-12 13:32:59.279 [main] INFO  TestExecution - 
2026-01-12 13:32:59.279 [main] INFO  TestExecution - ################################################################################
2026-01-12 13:32:59.279 [main] INFO  TestExecution - # TEST CASE: TC_AMZ_004 - Verify Product Details Display
2026-01-12 13:32:59.279 [main] INFO  TestExecution - ################################################################################
2026-01-12 13:32:59.279 [main] INFO  testcase4 - Search Keyword: laptop
2026-01-12 13:32:59.279 [main] INFO  TestSteps - >>> Pre-condition : Search for product
2026-01-12 13:33:11.809 [main] INFO  testcase4 - Navigated to Amazon homepage
2026-01-12 13:33:11.868 [main] INFO  testcase4 - Entered search keyword: laptop
2026-01-12 13:33:15.885 [main] INFO  testcase4 - Clicked search button
2026-01-12 13:33:15.909 [main] INFO  testcase4 - Search results loaded
2026-01-12 13:33:15.909 [main] INFO  TestSteps - >>> Step 1-2 : Get product title and click first product
2026-01-12 13:33:15.920 [main] INFO  testcase4 - First product title: Apple 2025 MacBook Air 13-inch Laptop with M4 chip: Built for Apple Intelligence, 13.6-inch Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, 12MP Center Stage Camera, Touch ID; Midnight
2026-01-12 13:33:15.921 [main] INFO  testcase4 - Product title validation passed
2026-01-12 13:33:19.563 [main] INFO  testcase4 - Successfully clicked first product
2026-01-12 13:33:19.563 [main] INFO  TestSteps - >>> Step 3 : Verify product details page elements
2026-01-12 13:33:19.588 [main] INFO  testcase4 - Product details page verified successfully
2026-01-12 13:33:19.589 [main] INFO  testcase4 - ========================================
2026-01-12 13:33:19.589 [main] INFO  testcase4 - TEST RESULT: PASSED ✓
2026-01-12 13:33:19.589 [main] INFO  testcase4 - ========================================
2026-01-12 13:33:19.589 [main] INFO  TestExecution - ################################################################################
2026-01-12 13:33:19.589 [main] INFO  TestExecution - # TEST CASE TC_AMZ_004 - RESULT: PASSED
2026-01-12 13:33:19.589 [main] INFO  TestExecution - ################################################################################
2026-01-12 13:33:19.589 [main] INFO  TestExecution - 
2026-01-12 13:33:19.589 [main] INFO  utils.ScreenshotListener - Test passed: testProductDetailsDisplay
2026-01-12 13:33:19.589 [main] INFO  testcase4 - --- Test Teardown Started ---
2026-01-12 13:33:19.718 [main] INFO  testcase4 - Browser closed
2026-01-12 13:33:19.718 [main] INFO  testcase4 - --- Test Teardown Completed ---
2026-01-12 13:33:19.718 [main] INFO  TestSteps - ================================================================================
2026-01-12 13:33:19.718 [main] INFO  TestSteps -   TC_AMZ_006: Update Cart Quantity
2026-01-12 13:33:19.718 [main] INFO  TestSteps - ================================================================================
2026-01-12 13:33:19.718 [main] INFO  testcase6 - Priority: HIGH (P2) | Type: Functional Test | Automation: YES
2026-01-12 13:33:19.722 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 143.0.7499.192 (resolved driver for Chrome 143)
2026-01-12 13:33:19.723 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as /Users/anishk/.cache/selenium/chromedriver/mac-arm64/143.0.7499.192/chromedriver
2026-01-12 13:33:19.723 [main] INFO  testcase6 - WebDriverManager setup completed
2026-01-12 13:33:19.724 [main] INFO  testcase6 - --- Test Setup Started ---
2026-01-12 13:33:20.161 [main] INFO  testcase6 - --- Test Setup Completed ---
2026-01-12 13:33:20.161 [main] INFO  utils.ScreenshotListener - Starting test: testUpdateAndRemoveCartItem
2026-01-12 13:33:20.161 [main] INFO  TestExecution - 
2026-01-12 13:33:20.161 [main] INFO  TestExecution - ################################################################################
2026-01-12 13:33:20.161 [main] INFO  TestExecution - # TEST CASE: TC_AMZ_006 - Update Cart Quantity
2026-01-12 13:33:20.161 [main] INFO  TestExecution - ################################################################################
2026-01-12 13:33:20.161 [main] INFO  testcase6 - Search Keyword: usb cable
2026-01-12 13:33:20.161 [main] INFO  TestSteps - >>> Pre-condition : Add item to cart
2026-01-12 13:33:39.041 [main] INFO  testcase6 - Navigated to homepage
2026-01-12 13:33:47.395 [main] INFO  testcase6 - Entered search keyword: usb cable
2026-01-12 13:33:53.167 [main] INFO  testcase6 - Search results loaded
2026-01-12 13:34:16.606 [main] INFO  testcase6 - Clicked first product
2026-01-12 13:34:29.253 [main] INFO  testcase6 - Added product to cart
2026-01-12 13:34:31.327 [main] INFO  testcase6 - Navigated to cart page
2026-01-12 13:34:31.328 [main] INFO  TestSteps - >>> Step 1 : Update cart quantity to 2
2026-01-12 13:34:41.637 [main] WARN  testcase6 - Quantity update skipped (maybe limited stock or different UI)
2026-01-12 13:34:41.637 [main] INFO  TestSteps - >>> Step 2 : Remove item from cart
2026-01-12 13:34:41.648 [main] INFO  testcase6 - Cart count before delete: 1
2026-01-12 13:34:43.699 [main] INFO  testcase6 - Delete button clicked
2026-01-12 13:34:43.713 [main] INFO  testcase6 - Cart count after delete: 0
2026-01-12 13:34:43.714 [main] INFO  testcase6 - Cart count decreased successfully
2026-01-12 13:34:43.714 [main] INFO  testcase6 - ========================================
2026-01-12 13:34:43.714 [main] INFO  testcase6 - TEST RESULT: PASSED ✓
2026-01-12 13:34:43.714 [main] INFO  testcase6 - ========================================
2026-01-12 13:34:43.714 [main] INFO  TestExecution - ################################################################################
2026-01-12 13:34:43.714 [main] INFO  TestExecution - # TEST CASE TC_AMZ_006 - RESULT: PASSED
2026-01-12 13:34:43.714 [main] INFO  TestExecution - ################################################################################
2026-01-12 13:34:43.714 [main] INFO  TestExecution - 
2026-01-12 13:34:43.714 [main] INFO  utils.ScreenshotListener - Test passed: testUpdateAndRemoveCartItem
2026-01-12 13:34:43.715 [main] INFO  testcase6 - --- Test Teardown Started ---
2026-01-12 13:34:43.866 [main] INFO  testcase6 - Browser closed
2026-01-12 13:34:43.866 [main] INFO  testcase6 - --- Test Teardown Completed ---
2026-01-12 13:34:43.867 [main] INFO  TestSteps - ================================================================================
2026-01-12 13:34:43.867 [main] INFO  TestSteps -   TC_AMZ_007: Remove Item from Cart
2026-01-12 13:34:43.867 [main] INFO  TestSteps - ================================================================================
2026-01-12 13:34:43.867 [main] INFO  testcase7 - Priority: MEDIUM (P3) | Type: Functional Test | Automation: YES
